Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;50718
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;39446
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28433
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;29476
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34129
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33550
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34056
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35008
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30389
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31242
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30210
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33801
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33349
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31326
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30311
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30448
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32177
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32566
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32770
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33393
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31914
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32285
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;38445
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;53201
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5654
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5603
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;4981
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;4963
